a,h,e,angle
9.6,16.7,1.9,-20.12501333467604
2.3,9.3,2.5,-117.37716596295785
2.7,15.8,1.7,74.43010470157346
5.7,8.6,2.3,-108.80149946146564
8.3,6.0,1.6,-0.368006180636292
9.8,19.9,2.3,-178.2902590958295
6.8,3.7,2.2,71.92103345005069
11.9,7.0,2.4,-106.66315412626902
10.6,16.0,2.2,-45.13801850922732
13.7,4.6,2.4,-8.725966373366258
8.3,10.4,1.3,-121.02166503766728
5.7,16.7,1.3,69.00456146930316
3.2,5.6,1.7,22.881721712449817
9.3,15.5,2.2,-3.9453023083774794
11.4,5.5,2.6,-45.48154779364702
6.9,14.8,2.2,49.37942092780688
3.0,8.9,2.5,-108.1059214657258
5.1,15.0,2.3,49.85974184937951
3.8,11.6,2.0,179.39148984966351
5.3,5.1,2.0,29.713911790066987
7.2,9.4,2.4,-150.52791248385012
8.2,13.9,1.3,142.0777886629911
7.4,14.8,2.6,12.450822680755678
12.5,19.6,2.1,178.45222697802325
8.1,11.5,2.2,150.14600484483134
13.4,10.7,2.7,111.47161465895708
9.6,14.5,2.1,44.82792737033162
13.6,4.5,1.7,33.976798190046374
4.8,10.2,1.8,-132.6918471370679
10.1,12.3,2.6,86.79448846668063
5.4,5.2,2.7,12.206127304335611
10.1,4.3,2.1,42.34812330506668
10.4,2.6,1.6,108.23265443715276
2.7,9.9,2.6,-144.65915053906912
5.0,3.2,1.8,92.2377592642743
4.6,7.0,1.5,-19.15158141703592
10.0,11.5,1.4,-165.6240251787423
12.2,14.0,2.7,-46.014079464377424
6.0,7.6,2.2,-70.89753395634759
