a,h,e,angle
11.8,18.6,1.3,-10.098572323049693
9.2,8.8,1.9,-118.5393832133638
2.9,13.2,1.4,166.51388699768893
13.1,16.9,1.5,0.4323837456140266
2.5,14.7,2.7,56.597285992478405
8.2,13.1,2.4,86.13682443892411
3.3,18.1,2.6,-58.97364136800243
6.4,3.8,2.6,65.1936762052675
11.8,5.4,2.2,-22.603102126283797
4.9,3.8,1.5,76.43262316096956
12.7,3.1,2.3,81.60286729998575
10.6,5.8,1.9,-16.39009957015323
6.3,16.1,2.0,24.30920190272052
4.9,11.8,1.9,173.06625977712463
4.9,16.9,2.1,0.774537011460082
11.3,4.7,1.4,43.82413846099438
2.5,6.0,1.8,10.54194329430635
10.3,2.4,2.3,111.19402387786832
9.4,17.1,2.4,-93.71844868861672
11.0,12.2,2.5,89.51261532537937
13.8,7.0,1.5,-54.300871920005065
6.4,11.9,1.5,-172.5548156791773
5.0,18.5,2.3,-71.14301975818668
12.6,5.9,1.8,-27.476435802685835
11.7,13.3,1.9,92.11329736712167
7.5,4.0,2.6,54.13843130616774
3.0,9.7,1.4,-92.85640379715646
8.7,16.8,2.0,-25.704043716235866
4.2,6.4,1.4,2.259292969381405
8.3,11.1,1.8,-176.59803781343766
6.1,12.1,2.7,118.22090270225652
5.6,15.0,2.6,25.9106621425347
10.7,17.6,2.4,-131.06500711826376
8.1,4.9,2.6,11.956552362423563
11.5,15.9,2.2,-56.05049159566159
4.4,5.9,2.5,-5.615579629870775
10.1,14.5,2.4,6.7037127740673
2.5,13.3,1.8,143.39209916511427
11.7,3.8,2.0,60.305603478276666
10.1,15.3,1.4,86.83262287294485
13.4,15.9,1.3,70.1596535377277
3.0,13.3,2.2,121.62410261901933
13.0,8.7,1.7,-125.26699429814256
8.0,9.9,2.0,-151.1514374795403
9.4,4.0,1.7,63.51283645016701
5.6,16.5,2.0,16.262518532942508
2.8,15.2,2.0,74.69648566404317
12.3,7.6,2.4,-131.34314223350677
3.7,12.2,1.6,-178.07095557275056
6.3,3.0,1.4,99.07849249563004
9.5,3.4,2.1,78.88468050717739
14.0,14.6,1.6,63.47513433934006
8.1,9.3,2.3,-148.70136976089933
14.0,2.2,1.4,119.91602113650085
4.6,12.1,1.6,-178.27983440764768
6.6,7.8,1.8,-64.09387020997988
10.4,8.4,2.2,-131.24595772826373
2.7,5.6,1.4,27.33162648628374
11.0,14.4,2.4,-3.046777985576678
6.9,7.5,2.2,-73.57151249681294
11.8,2.5,1.9,108.90768735759228
