a (Top Surface Length),h (Height),e,phase
4.2,4.9,2.25,-127.09523307936912
11.9,4.8,2.53,-157.7285560824246
7.1,4.9,2.25,-134.27174436898434
4.6,4.8,1.24,-117.11982869067096
10.0,4.9,2.25,-144.34235866617243
9.2,5.1,2.72,-161.2635839064083
7.5,4.8,1.24,-117.35525511793374
4.7,4.9,2.53,-130.99032314168474
13.4,4.9,2.25,-161.63329340203734
3.3,5.0,2.25,-128.31958405798866
7.6,4.9,2.53,-140.52235988762672
12.1,5.1,2.72,-181.95689981392346
10.4,4.8,1.24,-119.9333673674452
6.2,5.0,2.25,-134.76772950072848
2.5,5.2,2.72,-136.92679599934615
10.5,4.9,2.53,-154.25746781738167
13.9,4.9,2.53,-179.2555915204752
5.4,5.2,2.72,-145.85569850984672
9.1,5.0,2.25,-144.6445405001362
13.8,4.8,1.24,-123.11378770911492
3.7,4.9,1.24,-118.43283268526277
3.8,5.0,2.53,-132.05096477340993
6.7,5.0,2.53,-140.53869505670755
6.6,4.9,1.24,-119.87743868735096
9.6,5.0,2.53,-153.68767319287062
12.0,5.0,2.25,-158.12556473295973
9.5,4.9,1.24,-121.77870475825186
13.0,5.0,2.53,-175.89701414935092
12.9,4.9,1.24,-124.99102167841326
8.3,5.2,2.72,-160.12465724529935
11.2,5.2,2.72,-179.35543294546304
2.9,5.1,2.53,-133.08477834314533
12.5,5.0,2.25,-160.81222255151206
4.5,5.3,2.72,-145.70426783034674
7.4,5.3,2.72,-159.2031977712394
2.4,5.1,2.25,-129.98657523530522
2.8,5.0,1.24,-120.92737099870062
5.8,5.1,2.53,-141.34242505045788
8.7,5.1,2.53,-153.13606491979132
11.6,5.1,2.53,-170.37297402248163
2.0,5.2,2.53,-134.32547379278847
10.3,5.3,2.72,-177.74767862267308
5.3,5.1,2.25,-135.8944170346634
4.9,5.2,2.53,-141.01015815050684
5.7,5.0,1.24,-122.61943004769893
8.6,5.0,1.24,-124.17094844033868
11.5,5.0,1.24,-125.80318409110316
4.8,5.1,1.24,-124.4134669776333
8.2,5.1,2.25,-144.8319174888111
7.7,5.1,1.24,-125.34462089442322
13.2,5.3,2.72,-203.4532775402621
13.7,5.3,2.72,-211.93478267475754
7.8,5.2,2.53,-153.01877797035195
10.6,5.1,1.24,-127.65409442318656
3.6,5.4,2.72,-146.01021125466855
14.0,5.1,1.24,-130.92157503963506
11.1,5.1,2.25,-157.47792513719313
3.9,5.2,1.24,-126.15474716038516
6.8,5.2,1.24,-127.9694948094106
4.4,5.2,2.25,-136.5244078690373
9.7,5.2,1.24,-129.8669738549195
12.6,5.2,1.24,-133.01689467368453
7.3,5.2,2.25,-145.0404051704816
13.1,5.2,1.24,-132.81969853769448
10.7,5.2,2.53,-168.67955895004562
4.0,5.3,2.53,-142.03652017064516
6.5,5.4,2.72,-158.31523681261828
6.9,5.3,2.53,-152.49577585215192
9.4,5.4,2.72,-175.9525246032331
9.8,5.3,2.53,-167.75965980752832
10.2,5.2,2.25,-157.25034124533835
13.6,5.2,2.25,-180.36945738320975
3.0,5.3,1.24,-128.34988687669366
5.9,5.3,1.24,-130.12566515583873
3.5,5.3,2.25,-137.6756754401772
12.3,5.4,2.72,-199.98573702232994
8.8,5.3,1.24,-131.52362998201068
12.7,5.3,2.53,-189.35022387777752
11.7,5.3,1.24,-134.70931296484372
6.4,5.3,2.25,-145.34928799944993
9.3,5.3,2.25,-156.84891320028473
3.1,5.4,2.53,-142.45684726445458
12.2,5.3,2.25,-172.89458511894398
2.7,5.5,2.72,-146.2606372505954
6.0,5.4,2.53,-152.32385568754754
2.1,5.4,1.24,-130.9373125216688
2.6,5.4,2.25,-138.64128941107583
5.0,5.4,1.24,-131.29981315018543
8.9,5.4,2.53,-166.79588245098398
7.9,5.4,1.24,-133.30426414109135
5.5,5.4,2.25,-145.79710821650616
10.8,5.4,1.24,-136.33745877172402
11.8,5.4,2.53,-186.12706391134518
8.4,5.4,2.25,-156.639667057935
11.3,5.4,2.25,-171.2945180909064
5.6,5.5,2.72,-157.3404192492059
4.6,5.5,2.25,-146.28141108753496
2.2,5.5,2.53,-143.25399123054115
5.1,5.5,2.53,-152.239208990291
7.5,5.5,2.25,-156.2927452373712
4.1,5.5,1.24,-134.61921102674057
7.0,5.5,1.24,-135.25953227371005
8.5,5.5,2.72,-174.11554922374157
9.9,5.5,1.24,-138.1343838662192
10.4,5.5,2.25,-170.47520267640883
8.0,5.5,2.53,-165.59886763059413
11.4,5.5,2.72,-196.13923991181647
10.9,5.5,2.53,-184.11607329278002
13.3,5.5,2.25,-190.0552125236256
4.7,5.6,2.72,-156.9507872686222
7.6,5.6,2.72,-172.50416870376958
13.8,5.5,2.53,-212.75522320396263
10.5,5.6,2.72,-193.2808311554941
12.8,5.5,1.24,-140.91341692174623
3.7,5.6,2.25,-147.2012140313766
3.2,5.6,1.24,-136.66343167413
13.4,5.6,2.72,-222.05650860497988
4.2,5.6,2.53,-151.9592202228106
6.6,5.6,2.25,-156.33200070081463
9.5,5.6,2.25,-169.67862791962548
12.4,5.6,2.25,-187.9049845320271
2.3,5.7,2.25,-146.74080910474527
6.1,5.6,1.24,-137.4470457140938
7.1,5.6,2.53,-164.64408958123113
10.0,5.6,2.53,-182.5561728541815
9.0,5.6,1.24,-139.53216204637428
3.8,5.7,2.72,-156.45531262649766
11.9,5.6,1.24,-143.3866862619267
12.9,5.6,2.53,-206.5240691857272
3.3,5.7,2.53,-152.52221621649707
5.2,5.7,1.24,-139.72846048480156
6.2,5.7,2.53,-163.98566261570147
9.1,5.7,2.53,-180.74044518580754
8.1,5.7,1.24,-141.6370085203771
6.7,5.7,2.72,-171.04731643383664
9.6,5.7,2.72,-191.20162264570547
12.0,5.7,2.53,-203.22518944990017
11.0,5.7,1.24,-144.699028463229
13.9,5.7,1.24,-148.75644098230163
2.8,5.7,2.25,-147.81137185075863
4.3,5.8,1.24,-141.52379283547455
5.7,5.7,2.25,-156.41922734839514
12.5,5.7,2.72,-217.75730143698004
2.4,5.8,2.72,-154.8023511694835
7.2,5.8,1.24,-143.37074308885042
10.1,5.8,1.24,-146.43280593277447
8.6,5.7,2.25,-168.77883216947396
13.0,5.8,1.24,-149.6147049904475
5.8,5.8,2.72,-169.9396100391462
5.3,5.8,2.53,-163.30368348713608
11.5,5.7,2.25,-185.57205824678928
2.9,5.9,1.24,-143.8804091207901
8.7,5.8,2.72,-188.8700469734034
8.2,5.8,2.53,-179.18884807643553
11.6,5.8,2.72,-212.80305503748025
4.9,5.9,2.72,-168.36072149286417
7.8,5.9,2.72,-186.29180354308707
11.1,5.8,2.53,-199.61872890571593
3.4,5.9,1.24,-143.4816191198224
10.7,5.9,2.72,-209.4164250317548
6.3,5.9,1.24,-145.31084602739622
9.2,5.9,1.24,-148.0273443150109
13.6,5.9,2.72,-243.54913276170976
4.8,5.8,2.25,-156.53572846687848
3.5,6.0,2.72,-165.4871077086397
4.0,6.0,2.72,-167.72496400525975
7.7,5.8,2.25,-168.08272067754118
10.6,5.8,2.25,-183.98915298156282
12.1,5.9,1.24,-151.22345566700392
2.0,6.0,1.24,-145.9053478272245
5.4,6.0,1.24,-147.44792219394597
8.3,6.0,1.24,-149.79433744808068
11.2,6.0,1.24,-153.23178207975232
4.5,6.1,1.24,-148.77701057714333
13.5,5.8,2.25,-208.5355340608605
14.0,5.8,2.53,-230.60216412785186
